# regionId<TAB>area name. Region->name data derived from RuneLite's
# DiscordGameEventType (BSD-2-Clause). Factual OSRS location data.
4403	The Stranglewood
4404	The Stranglewood
4405	Vardorvis
4510	Karuulm Slayer Dungeon
4511	Karuulm Slayer Dungeon
4512	Karuulm Slayer Dungeon
4659	The Stranglewood
4660	The Stranglewood
4661	The Stranglewood
4662	Mount Quidamortem
4663	Mount Quidamortem
4664	Kebos Swamp
4665	Kebos Lowlands
4666	Kebos Lowlands
4667	Kebos Lowlands
4761	Stranglewood Temple
4763	Quidamortem Cave
4766	Karuulm Slayer Dungeon
4767	Karuulm Slayer Dungeon
4768	Karuulm Slayer Dungeon
4883	Cerberus
4916	The Stranglewood
4917	The Stranglewood
4918	Mount Quidamortem
4919	Mount Quidamortem
4920	Kebos Swamp
4921	Kebos Lowlands
4922	Farming Guild
4923	Mount Karuulm
5021	Hespori
5022	Karuulm Slayer Dungeon
5023	Karuulm Slayer Dungeon
5140	Cerberus
5174	Kebos Swamp
5175	Kebos Swamp
5176	Kebos Swamp
5177	Molch
5178	Kebos Lowlands
5179	Mount Karuulm
5180	Mount Karuulm
5275	Lizardman Caves
5277	Lizardman Temple
5279	Karuulm Slayer Dungeon
5280	Karuulm Slayer Dungeon
5395	Cerberus
5424	Ralos' Rise
5425	Ralos' Rise
5430	Kebos Swamp
5431	Kebos Swamp
5432	Molch Island
5433	Battlefront
5434	Battlefront
5435	The Forsaken Tower
5525	Cam Torum
5535	Karuulm Slayer Dungeon
5536	Alchemical Hydra
5679	Ralos' Rise
5680	Ralos' Rise
5681	Ralos' Rise
5682	Ralos' Rise
5686	Shayzien
5687	Shayzien
5688	Shayzien
5689	Shayzien
5690	Lovakengj
5691	Lovakengj
5692	Lovakengj
5780	Cam Torum
5781	Cam Torum
5789	Chasm of Fire
5934	Sunset Coast
5935	Avium Savannah
5936	Avium Savannah
5937	Avium Savannah
5941	Land's End
5942	Kourend Woodland
5943	Shayzien
5944	Shayzien
5945	Shayzien
5946	Lovakengj
5947	Lovakengj
5948	Blast Mine
6037	Cam Torum
6043	Shayzien Crypts
6045	Yama
6189	Avium Savannah
6190	Sunset Coast
6191	Hunter Guild
6192	Ortus Farm
6193	Ortus Farm
6197	Kourend Woodland
6198	Woodcutting Guild
